landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,125,165,0.3472,0.3438
2,l_brow_mid,145,161,0.4028,0.3354
3,l_brow_right,168,165,0.4667,0.3438
4,r_brow_left,212,164,0.5889,0.3417
5,r_brow_mid,235,158,0.6528,0.3292
6,r_brow_right,259,161,0.7194,0.3354
7,l_eye_left,135,184,0.375,0.3833
8,l_eye_mid,151,182,0.4194,0.3792
9,l_eye_right,166,184,0.4611,0.3833
10,r_eye_left,215,182,0.5972,0.3792
11,r_eye_mid,231,180,0.6417,0.375
12,r_eye_right,248,180,0.6889,0.375
13,l_ear,107,221,0.2972,0.4604
14,nose_left,170,234,0.4722,0.4875
15,nose_mid,192,234,0.5333,0.4875
16,nose_right,214,234,0.5944,0.4875
17,r_ear,281,219,0.7806,0.4562
18,mouth_left,162,266,0.45,0.5542
19,mouth_mid,196,267,0.5444,0.5563
20,mouth_right,226,263,0.6278,0.5479
21,chin,199,314,0.5528,0.6542
22,bridge,190,167,0,0
