landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,1086,739,0.4242,0.2084
2,l_brow_mid,1152,719,0.45,0.2028
3,l_brow_right,1235,730,0.4824,0.2059
4,r_brow_left,1388,704,0.5422,0.1985
5,r_brow_mid,1463,672,0.5715,0.1895
6,r_brow_right,1562,676,0.6102,0.1906
7,l_eye_left,1133,812,0.4426,0.229
8,l_eye_mid,1191,801,0.4652,0.2259
9,l_eye_right,1242,804,0.4852,0.2267
10,r_eye_left,1407,775,0.5496,0.2186
11,r_eye_mid,1468,765,0.5734,0.2157
12,r_eye_right,1533,758,0.5988,0.2138
13,l_ear,1031,974,0.4027,0.2747
14,nose_left,1278,983,0.4992,0.2772
15,nose_mid,1329,967,0.5191,0.2727
16,nose_right,1410,971,0.5508,0.2738
17,r_ear,1693,906,0.6613,0.2555
18,mouth_left,1267,1116,0.4949,0.3147
19,mouth_mid,1367,1103,0.534,0.3111
20,mouth_right,1466,1083,0.5727,0.3054
21,chin,1401,1268,0.5473,0.3576
