landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,458,489,0.4014,0.3221
2,l_brow_mid,501,480,0.4391,0.3162
3,l_brow_right,544,489,0.4768,0.3221
4,r_brow_left,625,492,0.5478,0.3241
5,r_brow_mid,669,482,0.5863,0.3175
6,r_brow_right,712,492,0.624,0.3241
7,l_eye_left,477,528,0.4181,0.3478
8,l_eye_mid,509,526,0.4461,0.3465
9,l_eye_right,536,532,0.4698,0.3505
10,r_eye_left,630,533,0.5521,0.3511
11,r_eye_mid,659,530,0.5776,0.3491
12,r_eye_right,691,532,0.6056,0.3505
13,l_ear,414,623,0.3628,0.4104
14,nose_left,546,629,0.4785,0.4144
15,nose_mid,587,626,0.5145,0.4124
16,nose_right,619,632,0.5425,0.4163
17,r_ear,756,630,0.6626,0.415
18,mouth_left,524,695,0.4592,0.4578
19,mouth_mid,584,697,0.5118,0.4592
20,mouth_right,640,696,0.5609,0.4585
21,chin,585,794,0.5127,0.5231
22, bridge, 583, 507, 0, 0
