landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,172,221,0.2687,0.3453
2,l_brow_mid,210,214,0.3281,0.3344
3,l_brow_right,249,222,0.3891,0.3469
4,r_brow_left,323,220,0.5047,0.3438
5,r_brow_mid,359,210,0.5609,0.3281
6,r_brow_right,398,217,0.6219,0.3391
7,l_eye_left,190,257,0.2969,0.4016
8,l_eye_mid,218,256,0.3406,0.4
9,l_eye_right,244,260,0.3812,0.4062
10,r_eye_left,326,259,0.5094,0.4047
11,r_eye_mid,353,254,0.5516,0.3969
12,r_eye_right,382,255,0.5969,0.3984
13,l_ear,129,338,0.2016,0.5281
14,nose_left,255,351,0.3984,0.5484
15,nose_mid,289,348,0.4516,0.5437
16,nose_right,318,352,0.4969,0.55
17,r_ear,453,336,0.7078,0.525
18,mouth_left,237,414,0.3703,0.6469
19,mouth_mid,290,414,0.4531,0.6469
20,mouth_right,338,410,0.5281,0.6406
21,chin,293,499,0.4578,0.7797
