landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,2553,1941,0.4255,0.4853
2,l_brow_mid,2781,1871,0.4635,0.4677
3,l_brow_right,2972,1917,0.4953,0.4793
4,r_brow_left,3193,1910,0.5322,0.4775
5,r_brow_mid,3334,1853,0.5557,0.4632
6,r_brow_right,3568,1912,0.5947,0.478
7,l_eye_left,2631,2179,0.4385,0.5447
8,l_eye_mid,2803,2159,0.4672,0.5397
9,l_eye_right,2914,2180,0.4857,0.545
10,r_eye_left,3196,2178,0.5327,0.5445
11,r_eye_mid,3310,2156,0.5517,0.539
12,r_eye_right,3444,2159,0.574,0.5397
13,l_ear,2018,2824,0.3363,0.706
14,nose_left,3057,2752,0.5095,0.688
15,nose_mid,3103,2663,0.5172,0.6657
16,nose_right,3069,2763,0.5115,0.6907
17,r_ear,4224,2838,0.704,0.7095
18,mouth_left,2933,3196,0.4888,0.799
19,mouth_mid,3104,3172,0.5173,0.793
20,mouth_right,3207,3190,0.5345,0.7975
21,chin,3090,3770,0.515,0.9425
