landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,2166,1067,0.4424,0.2906
2,l_brow_mid,2271,1039,0.4638,0.283
3,l_brow_right,2381,1055,0.4863,0.2873
4,r_brow_left,2598,1051,0.5306,0.2862
5,r_brow_mid,2713,1027,0.5541,0.2797
6,r_brow_right,2827,1054,0.5774,0.287
7,l_eye_left,2217,1166,0.4528,0.3175
8,l_eye_mid,2299,1157,0.4696,0.3151
9,l_eye_right,2373,1166,0.4847,0.3175
10,r_eye_left,2614,1157,0.5339,0.3151
11,r_eye_mid,2692,1153,0.5498,0.314
12,r_eye_right,2774,1154,0.5666,0.3143
13,l_ear,2077,1427,0.4242,0.3886
14,nose_left,2402,1405,0.4906,0.3826
15,nose_mid,2500,1388,0.5106,0.378
16,nose_right,2596,1412,0.5302,0.3845
17,r_ear,2948,1422,0.6021,0.3873
18,mouth_left,2356,1586,0.4812,0.4319
19,mouth_mid,2506,1582,0.5118,0.4308
20,mouth_right,2653,1570,0.5419,0.4276
21,chin,2522,1828,0.5151,0.4978
