landmark_id,name,pixel_x,pixel_y,normalized_x,normalized_y
1,l_brow_left,235,123,0.47,0.2657
2,l_brow_mid,252,119,0.504,0.257
3,l_brow_right,269,121,0.538,0.2613
4,r_brow_left,303,121,0.606,0.2613
5,r_brow_mid,320,118,0.64,0.2549
6,r_brow_right,337,122,0.674,0.2635
7,l_eye_left,243,138,0.486,0.2981
8,l_eye_mid,255,137,0.51,0.2959
9,l_eye_right,267,138,0.534,0.2981
10,r_eye_left,304,138,0.608,0.2981
11,r_eye_mid,317,137,0.634,0.2959
12,r_eye_right,329,137,0.658,0.2959
13,l_ear,221,175,0.442,0.378
14,nose_left,271,176,0.542,0.3801
15,nose_mid,289,174,0.578,0.3758
16,nose_right,302,177,0.604,0.3823
17,r_ear,354,176,0.708,0.3801
18,mouth_left,263,203,0.526,0.4384
19,mouth_mid,288,203,0.576,0.4384
20,mouth_right,310,201,0.62,0.4341
21,chin,289,240,0.578,0.5184
22, bridge, 285, 129, 0, 0
